number of equals = 1350				
number of contains = 605				
Kind of Match	Subject	Relation	Object	Context
Equal	Henry George Norris	Occupation	Businessman	Sir Henry George Norris MP (23 July 1865 – 30 July 1934) was an English businessman, politician and football club director, most famous for his chairmanship of both Fulham and Arsenal. He is particularly notorious for his alleged role in Arsenal's promotion to the top flight in 1919, despite them only finishing fifth in the Second Division.
Contains	Kim Stanley	Occupation	Actress	She began her acting career in theatre, and subsequently attended the Actors Studio in New York City, New York. She received the 1952 Theatre World Award for her role in The Chase (1952), and starred in the Broadway productions of Picnic (1953) and Bus Stop (1955). Stanley was nominated for the Tony Award for Best Actress in a Play for her roles in A Touch of the Poet (1959) and A Far Country (1962).
Contains	Kim Stanley	Occupation	Actress	In the 1950s, Stanley was a prolific performer in television, and later progressed to film, with a well-received performance in The Goddess (1959). She was the narrator of To Kill a Mockingbird (1962) and starred in Séance on a Wet Afternoon (1964), for which she won the New York Film Critics Circle Award for Best Actress and was nominated for the Academy Award for Best Actress. She was less active during the remainder of her career; two of her later film successes were as the mother of Frances Farmer in Frances (1982), for which she received a second Academy Award nomination as Best Supporting Actress, and as Pancho Barnes in The Right Stuff (1983). She received an Primetime Emmy Award for Outstanding Supporting Actress – Miniseries or a Movie for her performance as Big Mama in a television adaptation of Cat on a Hot Tin Roof in 1985. That same year, Kim Stanley was inducted into the American Theatre Hall of Fame.
Contains	Kim Stanley	Occupation	Actress	In the 1950s, Stanley was a prolific performer in television, and later progressed to film, with a well-received performance in The Goddess (1959). She was the narrator of To Kill a Mockingbird (1962) and starred in Séance on a Wet Afternoon (1964), for which she won the New York Film Critics Circle Award for Best Actress and was nominated for the Academy Award for Best Actress. She was less active during the remainder of her career; two of her later film successes were as the mother of Frances Farmer in Frances (1982), for which she received a second Academy Award nomination as Best Supporting Actress, and as Pancho Barnes in The Right Stuff (1983). She received an Primetime Emmy Award for Outstanding Supporting Actress – Miniseries or a Movie for her performance as Big Mama in a television adaptation of Cat on a Hot Tin Roof in 1985. That same year, Kim Stanley was inducted into the American Theatre Hall of Fame.
Contains	Kim Stanley	Occupation	Actress	In the 1950s, Stanley was a prolific performer in television, and later progressed to film, with a well-received performance in The Goddess (1959). She was the narrator of To Kill a Mockingbird (1962) and starred in Séance on a Wet Afternoon (1964), for which she won the New York Film Critics Circle Award for Best Actress and was nominated for the Academy Award for Best Actress. She was less active during the remainder of her career; two of her later film successes were as the mother of Frances Farmer in Frances (1982), for which she received a second Academy Award nomination as Best Supporting Actress, and as Pancho Barnes in The Right Stuff (1983). She received an Primetime Emmy Award for Outstanding Supporting Actress – Miniseries or a Movie for her performance as Big Mama in a television adaptation of Cat on a Hot Tin Roof in 1985. That same year, Kim Stanley was inducted into the American Theatre Hall of Fame.
Contains	Harvey Fierstein	Occupation	Actor	Harvey Forbes Fierstein (born June 6, 1954) is an American actor, playwright, and voice actor. Fierstein has won the Tony Award for Best Actor in a Play for his own play Torch Song Trilogy (about a gay drag-performer and his quest for true love and family) and the Tony Award for Best Actor in a Musical for playing Edna Turnblad in Hairspray. He also wrote the book for the musical La Cage aux Folles, for which he won the Tony Award for Best Book of a Musical, and wrote the book for the Tony Award-winning Kinky Boots. He was inducted into the American Theater Hall of Fame in 2007.
Equal	Henry Thomas Colebrooke	Occupation	Orientalist	Henry Thomas Colebrooke FRS FRSE (June 15, 1765 – March 10, 1837) was an English orientalist and mathematician. He has been described as "the first great Sanskrit scholar in Europe".
Equal	Henry Yule	Occupation	Orientalist	Sir Henry Yule KCSI (1 May 1820 – 30 December 1889) was a Scottish Orientalist. He published many travel books, including translations of the work of Marco Polo and Mirabilia by the 14th century Dominican Friar Jordanus. He was also the compiler of a dictionary of Anglo-Indian terms, the Hobson-Jobson, along with Arthur Coke Burnell.
Equal	Isabel Preysler	Occupation	Socialite	Maria Isabel Preysler-Arrastía (born 18 February 1951), better known as Isabel Preysler, is a Spanish Filipina socialite and television host.
Equal	Jacqueline du Pré	Occupation	Cellist	Jacqueline Mary du Pré, OBE (26 January 1945 – 19 October 1987) was an English cellist. At a young age, she achieved enduring mainstream popularity unusual for a classical performer. Despite her short career, she is regarded as one of the most talented cellists of the second half of the twentieth century.
Equal	James Mellaart	Occupation	Archaeologist	James Mellaart FBA (14 November 1925 – 29 July 2012) was a British archaeologist and author who is noted for his discovery of the Neolithic settlement of Çatalhöyük in Turkey. He was expelled from Turkey when he was suspected of involvement with the antiquities black market. He was also involved in a string of controversies, including the so-called mother goddess controversy in Anatolia, which eventually led to his being banned from excavations in Turkey in the 1960s.
Contains	Janet Leigh	Occupation	Actress	Janet Leigh (born Jeanette Helen Morrison; July 6, 1927 – October 3, 2004) was an American actress and author. She is best remembered for her performance in Psycho, for which she was awarded the Golden Globe Award for Best Supporting Actress and received an Academy Award nomination. She was the first wife of actor Tony Curtis and the mother of Kelly Curtis and Jamie Lee Curtis.
Contains	Janet Suzman	Occupation	Actress	Dame Janet Suzman, DBE (born 9 February 1939) is a South African/British actress who enjoyed a successful early career in the Royal Shakespeare Company, later replaying many Shakespearean roles, among others, on TV. In her first film, Nicholas and Alexandra (1972), her performance as Empress Alexandra earned her several honours, including a nomination for the Academy Award for Best Actress.
Contains	Joan Cusack	Occupation	Actress	Joan Cusack (/ˈkjuːsæk/, born October 11, 1962) is an American actress. She received Academy Award nominations for Best Supporting Actress for her roles in the romantic comedy-drama Working Girl (1988) and the romantic comedy In & Out (1997), as well as one Golden Globe nomination for her performance in the latter. She is also known as the voice of Jessie in the Toy Story franchise.
Equal	John Snagge	Occupation	Newsreader	John Derrick Mordaunt Snagge OBE (8 May 1904 – 26 March 1996) was a long-time British newsreader and commentator on BBC Radio.
Contains	Jonny Lee Miller	Occupation	Film	Jonathan "Jonny" Lee Miller (born 15 November 1972) is an English film, television and theatre actor. He achieved early success for his portrayal of Simon "Sick Boy" Williamson in the dark comedy drama film Trainspotting (1996) and Dade Murphy in Hackers (1995), before earning further critical recognition for his performances in Afterglow (1997), Mansfield Park (1999), The Flying Scotsman (2006) and Endgame (2009); for The Flying Scotsman he received a London Film Critics' Circle nomination for Actor of the Year. He was also part of the principal cast in the films Melinda and Melinda (2004), Dark Shadows (2012) and Byzantium (2013). He has appeared in several theatrical productions on Broadway, most notably After Miss Julie and Frankenstein, the latter of which earned him an Olivier Award for Best Actor.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's Swati Mutyam was India's official entry to the 59th Academy Awards. Swati Mutyam, Sagara Sangamam and Sirivennela were premiered at the Asia Pacific Film Festival. Swayam Krushi was premiered to special mention at the Moscow International Film Festival.Sankarabharanam, Sagara Sangamam, Shrutilayalu, Swarnakamalam and Swati Kiranam were premiered in the Indian Panorama section at International Film Festival of India, and AISFM Film Festival.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's classical films Sankarabharanam (1979) and Sagara Sangamam (1983) were included among CNN-IBN's list of hundred greatest Indian films of all time.His directorial works Sankarabharanam and Saptapadi, have garnered the National Film Award for Best Popular Film Providing Wholesome Entertainment and Best Feature Film on National Integration, respectively. Sankarabharanam, was premiered at the 8th International Film Festival of India, the Tashkent Film Festival, and the Moscow International Film Festival held in May 1980, and has also won the Prize of the Public at the Besancon Film Festival of France in the year 1981.
Contains	Kasinathuni Viswanath	Occupation	Film	Kasinadhuni Viswanath  (born 19 February 1930) is an Indian film, sound designer turned director and actor known for his works in Telugu Cinema, Tamil Cinema and Hindi Cinema. He is the recipient of five National Film Awards, six state Nandi Awards, ten Filmfare Awards, and a Bollywood Filmfare Award. Viswanath's Hindi films include Sargam, Kaamchor, Sanjog, Jaag Utha Insan, Eeshwar, Sur Sangam, Shubh Kaamna, Sangeet and Dhanwaan. Viswanath has received international recognition for his works, and is known for blending parallel cinema elements with mainstream commercial cinema.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's classical films Sankarabharanam (1979) and Sagara Sangamam (1983) were included among CNN-IBN's list of hundred greatest Indian films of all time.His directorial works Sankarabharanam and Saptapadi, have garnered the National Film Award for Best Popular Film Providing Wholesome Entertainment and Best Feature Film on National Integration, respectively. Sankarabharanam, was premiered at the 8th International Film Festival of India, the Tashkent Film Festival, and the Moscow International Film Festival held in May 1980, and has also won the Prize of the Public at the Besancon Film Festival of France in the year 1981.
Contains	Kasinathuni Viswanath	Occupation	Film	Kasinadhuni Viswanath  (born 19 February 1930) is an Indian film, sound designer turned director and actor known for his works in Telugu Cinema, Tamil Cinema and Hindi Cinema. He is the recipient of five National Film Awards, six state Nandi Awards, ten Filmfare Awards, and a Bollywood Filmfare Award. Viswanath's Hindi films include Sargam, Kaamchor, Sanjog, Jaag Utha Insan, Eeshwar, Sur Sangam, Shubh Kaamna, Sangeet and Dhanwaan. Viswanath has received international recognition for his works, and is known for blending parallel cinema elements with mainstream commercial cinema.
Contains	Kasinathuni Viswanath	Occupation	Film	Kasinadhuni Viswanath  (born 19 February 1930) is an Indian film, sound designer turned director and actor known for his works in Telugu Cinema, Tamil Cinema and Hindi Cinema. He is the recipient of five National Film Awards, six state Nandi Awards, ten Filmfare Awards, and a Bollywood Filmfare Award. Viswanath's Hindi films include Sargam, Kaamchor, Sanjog, Jaag Utha Insan, Eeshwar, Sur Sangam, Shubh Kaamna, Sangeet and Dhanwaan. Viswanath has received international recognition for his works, and is known for blending parallel cinema elements with mainstream commercial cinema.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's Swati Mutyam was India's official entry to the 59th Academy Awards. Swati Mutyam, Sagara Sangamam and Sirivennela were premiered at the Asia Pacific Film Festival. Swayam Krushi was premiered to special mention at the Moscow International Film Festival.Sankarabharanam, Sagara Sangamam, Shrutilayalu, Swarnakamalam and Swati Kiranam were premiered in the Indian Panorama section at International Film Festival of India, and AISFM Film Festival.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's Swati Mutyam was India's official entry to the 59th Academy Awards. Swati Mutyam, Sagara Sangamam and Sirivennela were premiered at the Asia Pacific Film Festival. Swayam Krushi was premiered to special mention at the Moscow International Film Festival.Sankarabharanam, Sagara Sangamam, Shrutilayalu, Swarnakamalam and Swati Kiranam were premiered in the Indian Panorama section at International Film Festival of India, and AISFM Film Festival.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's classical films Sankarabharanam (1979) and Sagara Sangamam (1983) were included among CNN-IBN's list of hundred greatest Indian films of all time.His directorial works Sankarabharanam and Saptapadi, have garnered the National Film Award for Best Popular Film Providing Wholesome Entertainment and Best Feature Film on National Integration, respectively. Sankarabharanam, was premiered at the 8th International Film Festival of India, the Tashkent Film Festival, and the Moscow International Film Festival held in May 1980, and has also won the Prize of the Public at the Besancon Film Festival of France in the year 1981.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's classical films Sankarabharanam (1979) and Sagara Sangamam (1983) were included among CNN-IBN's list of hundred greatest Indian films of all time.His directorial works Sankarabharanam and Saptapadi, have garnered the National Film Award for Best Popular Film Providing Wholesome Entertainment and Best Feature Film on National Integration, respectively. Sankarabharanam, was premiered at the 8th International Film Festival of India, the Tashkent Film Festival, and the Moscow International Film Festival held in May 1980, and has also won the Prize of the Public at the Besancon Film Festival of France in the year 1981.
Contains	Kasinathuni Viswanath	Occupation	Film	Viswanath's Swati Mutyam was India's official entry to the 59th Academy Awards. Swati Mutyam, Sagara Sangamam and Sirivennela were premiered at the Asia Pacific Film Festival. Swayam Krushi was premiered to special mention at the Moscow International Film Festival.Sankarabharanam, Sagara Sangamam, Shrutilayalu, Swarnakamalam and Swati Kiranam were premiered in the Indian Panorama section at International Film Festival of India, and AISFM Film Festival.
Contains	Kate Hudson	Occupation	Actress	Kate Garry Hudson (born April 19, 1979) is an American actress. She rose to prominence in 2000 for playing Penny Lane in Almost Famous, for which she won a Golden Globe and was nominated for an Academy Award for Best Supporting Actress. Her other films include How to Lose a Guy in 10 Days (2003), Raising Helen (2004), The Skeleton Key (2005), You, Me and Dupree (2006), Fool's Gold (2008), and Bride Wars (2009). Hudson also co-founded Fabletics, a fitness brand and membership program operated by JustFab.
Contains	Kathryn Bigelow	Occupation	Director	With The Hurt Locker, Bigelow became the first woman to win the Academy Award for Best Director, the Directors Guild of America Award for Outstanding Directing, the BAFTA Award for Best Direction, and the Critics' Choice Movie Award for Best Director. She also became the first woman to win the Saturn Award for Best Director in 1995 for Strange Days.
Contains	Kathryn Bigelow	Occupation	Director	With The Hurt Locker, Bigelow became the first woman to win the Academy Award for Best Director, the Directors Guild of America Award for Outstanding Directing, the BAFTA Award for Best Direction, and the Critics' Choice Movie Award for Best Director. She also became the first woman to win the Saturn Award for Best Director in 1995 for Strange Days.
Contains	Kathryn Bigelow	Occupation	Director	With The Hurt Locker, Bigelow became the first woman to win the Academy Award for Best Director, the Directors Guild of America Award for Outstanding Directing, the BAFTA Award for Best Direction, and the Critics' Choice Movie Award for Best Director. She also became the first woman to win the Saturn Award for Best Director in 1995 for Strange Days.
Contains	Kati Outinen	Occupation	Actress	Besides a strong domestic reputation gained through a widely varied list of roles in theater and television drama, film director Aki Kaurismäki's films have brought Outinen international attention and even adulation, particularly in Germany and France. Her first work together with Kaurismäki was Shadows in Paradise in 1986. At the 2002 Cannes Film Festival, Outinen won the award for Best Actress for the Kaurismäki film The Man Without a Past.
Equal	Lars Amble	Occupation	Actor	Lars Anders Amble-Næss (10 August 1939 – 20 August 2015) was a Swedish actor and director. Amble was the son of Leif Amble-Næss and Maritta Marke. After finishing theater school in Stockholm, which he attended from 1963 to 1965, he was hired by the Royal Dramatic Theater until 1969, after which he has played parts in various theater plays, musicals, TV shows and movies.From 1986 to 1994 he was artistic director for the Maxim theater in Stockholm.
Equal	Leo Ornstein	Occupation	Composer	Leo Ornstein (born Lev Ornshteyn; Russian: Лев Орнштейн; c. December 11, 1895 – February 24, 2002) was a Russian-American composer and pianist of the early twentieth century. His performances of works by avant-garde composers and his own innovative and even shocking pieces made him a cause célèbre on both sides of the Atlantic.
Equal	Magali Febles	Occupation	Beautician	Magali Esperanza Febles Moretta (born 1964 in Santo Domingo) is a Dominican beautician and beauty pageant circuit personality who is the national pageant director for the Miss Dominican Republic Universe and Miss Haiti Universe franchises.
Contains	Marie-Christine Barrault	Occupation	Actress	Marie-Christine Barrault (born 21 March 1944) is a French actress. She is best known for her performance in Cousin Cousine (1975) for which she was nominated for the Academy Award for Best Actress. She is the widow of film director Roger Vadim. In 2010, she released her autobiography, titled This Long Way To Get To You.
Contains	Marisa Tomei	Occupation	Actress	Marisa Tomei (/məˈrɪsə toʊˈmeɪ/; Italian pronunciation: [maˈriːza toˈmɛi]; born December 4, 1964) is an American actress. In a career spanning three decades, Tomei had initial success in films as a young actress, followed by a series of unsuccessful films, then a resurgence with a series of critically acclaimed films. Following her work on the television series As the World Turns, she came to prominence as a cast member on The Cosby Show spin-off A Different World in 1987. After having minor roles in a few films, she came to international attention in 1992 with the comedy My Cousin Vinny, for which she received an Academy Award for Best Supporting Actress.
Contains	Marisa Tomei	Occupation	Actress	Tomei has also done substantial work in theater. She was formerly involved with the Naked Angels Theater Company and received acclaim for her performance in plays like Daughters (1986), Wait Until Dark (1998), Top Girls (2008), for which she received a nomination for Drama Desk Award for Outstanding Featured Actress in a Play, and The Realistic Joneses (2014), for which she received a special award at Drama Desk Awards.
Contains	Marsha Mason	Occupation	Actress	Marsha Mason (born April 3, 1942) is an American actress and director. She was nominated four times for the Academy Award for Best Actress; for her performances in Cinderella Liberty (1973), The Goodbye Girl (1977), Chapter Two (1979) and Only When I Laugh (1981). The first two films also won her Golden Globe Awards. She was married for ten years (1973–83) to the playwright and screenwriter Neil Simon, who was the writer of three of her four Oscar nominated roles.
Equal	Marsha Mason	Occupation	Actress	Marsha Mason (born April 3, 1942) is an American actress and director. She was nominated four times for the Academy Award for Best Actress; for her performances in Cinderella Liberty (1973), The Goodbye Girl (1977), Chapter Two (1979) and Only When I Laugh (1981). The first two films also won her Golden Globe Awards. She was married for ten years (1973–83) to the playwright and screenwriter Neil Simon, who was the writer of three of her four Oscar nominated roles.
Equal	Maurine Dallas Watkins	Occupation	Journalist	Maurine Dallas Watkins (July 27, 1896 – August 10, 1969) was an American journalist and playwright. In the 1920s she wrote the play, Chicago (1926). After her death, it was adapted by Bob Fosse and others as a successful musical for stage, running from 1975 to 1977 in New York, and a 2002 film version.
Equal	Hetty Green	Occupation	Businesswoman	Henrietta Howland "Hetty" Green (née Robinson; November 21, 1834 – July 3, 1916), nicknamed the "Witch of Wall Street", was an American businesswoman and financier known as "the richest woman in America" during the Gilded Age. Known for both her wealth and her miserliness, she was the lone woman to amass a fortune when other major financiers were men.
Contains	Manisha Koirala	Occupation	Actress	Recognised for her acting prowess, Koirala was noted for her performances in films such as Bombay, Akele Hum Akele Tum (both 1995), Khamoshi: The Musical (1996), Dil Se.. (1998), Lajja (2001) and Company (2002). She has won the Filmfare Critics' Award thrice and has received four nominations for the Filmfare Award for Best Actress so far. Although box-office collections of her films have varied considerably, critics have noted that her niche as an actor remains unharmed irrespective of her commercial potent. Off-screen she is frequented in the media as a "controversy's child" with her bohemian stance and candid comments often described as "outspoken" and "bold". She was awarded "Nepal's Humanitarian Ambassador" at the We Care for Humanity's 3rd Global Officials of Dignity Awards which was held at UN Millennium Hotel in August, 2015.
Equal	Krystyna Skarbek	Occupation	Agent	She became a British agent months before the SOE was founded in July 1940 and was one of the longest-serving of all Britain's wartime women agents. Her resourcefulness and success have been credited with influencing the organisation's policy of recruiting increasing numbers of women. In 1941 she began using the nom de guerre Christine Granville, a name which she legally adopted upon naturalisation as a British subject in December 1946.
Equal	Korbinian Brodmann	Occupation	Neurologist	Korbinian Brodmann (17 November 1868 – 22 August 1918) was a German neurologist who became famous for his definition of the cerebral cortex into 52 distinct regions from their cytoarchitectonic (histological) characteristics, known as Brodmann areas.
Equal	Miho Nikaido	Occupation	Actress	Miho Nikaidō (二階堂 美穂 aka 二階堂 ミホ, Nikaidō Miho; born April 3, 1966) is a Japanese dancer and actress.
Equal	John Lester Wallack	Occupation	Actor	John Lester Wallack (born John Johnstone Wallack) (January 1, 1820 New York, NY – September 6, 1888 Stamford, CT), was an American actor and son of James William Wallack.
Equal	John Palliser	Occupation	Geographer	John Palliser CMG (29 January 1817 – 18 August 1887) was an Irish-born geographer and explorer. Following his service in the Waterford Militia and hunting excursions to the North American prairies, he led the British North American Exploring Expedition which investigated the geography, climate and ecology of western Canada.
Equal	Joseph Nicollet	Occupation	Geographer	Joseph Nicolas Nicollet (July 24, 1786 – September 11, 1843), also known as Jean-Nicolas Nicollet, was a French geographer, astronomer, and mathematician known for mapping the Upper Mississippi River basin during the 1830s. Nicollet led three expeditions in the region between the Mississippi and Missouri Rivers, primarily in Minnesota, South Dakota, and North Dakota.
Contains	Judd Hirsch	Occupation	Actor	Over the course of his career, he has twice won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series, has twice won the Tony Award for Best Actor in a Play, and has been nominated for the Academy Award for Best Supporting Actor.
Contains	Judd Hirsch	Occupation	Actor	Over the course of his career, he has twice won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series, has twice won the Tony Award for Best Actor in a Play, and has been nominated for the Academy Award for Best Supporting Actor.
Contains	Judd Hirsch	Occupation	Actor	Over the course of his career, he has twice won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series, has twice won the Tony Award for Best Actor in a Play, and has been nominated for the Academy Award for Best Supporting Actor.
Contains	Keira Knightley	Occupation	Actress	In its 2008 list, Forbes identified Knightley as the second-highest-paid actress in Hollywood, with reported earnings of US$32 million in 2007, making her the only non-American on the list of highest-paid actresses that year. In 2014, she was nominated for a Golden Globe, a SAG, a BAFTA Award, and an Academy Award for Best Supporting Actress for her role in the historical thriller The Imitation Game. In October 2015, Knightley made her Broadway debut in the title role of Thérèse Raquin.
Contains	Keira Knightley	Occupation	Actress	Knightley became known for starring in period dramas such as Pride & Prejudice (2005), for which she earned nominations for the Academy Award for Best Actress and the Golden Globe Award for Best Actress; Atonement (2007), for which she was nominated again for a Golden Globe; Silk (2007); The Duchess (2008); A Dangerous Method (2011); and Anna Karenina (2012). She has also appeared in a variety of other genres, including the romantic comedy Love Actually (2003), as Guinevere in the historical action King Arthur (2004), the psychological thriller The Jacket (2005), biographical action Domino (2005), the historical drama The Edge of Love (2008), the film noir London Boulevard (2010), the dystopian science fiction Never Let Me Go (2010), the romantic drama Last Night (2010), and the dark comedy Seeking a Friend for the End of the World (2012).
Contains	Keira Knightley	Occupation	Actress	Knightley became known for starring in period dramas such as Pride & Prejudice (2005), for which she earned nominations for the Academy Award for Best Actress and the Golden Globe Award for Best Actress; Atonement (2007), for which she was nominated again for a Golden Globe; Silk (2007); The Duchess (2008); A Dangerous Method (2011); and Anna Karenina (2012). She has also appeared in a variety of other genres, including the romantic comedy Love Actually (2003), as Guinevere in the historical action King Arthur (2004), the psychological thriller The Jacket (2005), biographical action Domino (2005), the historical drama The Edge of Love (2008), the film noir London Boulevard (2010), the dystopian science fiction Never Let Me Go (2010), the romantic drama Last Night (2010), and the dark comedy Seeking a Friend for the End of the World (2012).
Contains	Maggie Gyllenhaal	Occupation	Actress	Margalit Ruth "Maggie" Gyllenhaal Saarsgard (/ˈdʒɪlənhɑːl ˈsɑːrzɡɑːrd/; born November 16, 1977) is an American actress. She is the daughter of filmmakers Stephen Gyllenhaal and Naomi Achs and the older sister of actor Jake Gyllenhaal. She began her film career as a teenager with roles in her father's films and appeared alongside her brother in the psychological horror film Donnie Darko (2001). She garnered critical praise for starring as Lee Holloway in Secretary (2002), for which she was nominated for a Golden Globe Award. For her performance in Sherrybaby (2006), she was nominated for the Golden Globe Award for Best Actress in a Motion Picture – Drama. She also received recognition for starring as Rachel Dawes in The Dark Knight (2008). For her performance in the musical-drama Crazy Heart (2009), she was nominated for the Academy Award for Best Supporting Actress. She subsequently starred in Nanny McPhee and the Big Bang (2010), Won't Back Down (2012) and Frank (2014), for which she was nominated for a BIFA Award.
Contains	Maggie Gyllenhaal	Occupation	Actress	Margalit Ruth "Maggie" Gyllenhaal Saarsgard (/ˈdʒɪlənhɑːl ˈsɑːrzɡɑːrd/; born November 16, 1977) is an American actress. She is the daughter of filmmakers Stephen Gyllenhaal and Naomi Achs and the older sister of actor Jake Gyllenhaal. She began her film career as a teenager with roles in her father's films and appeared alongside her brother in the psychological horror film Donnie Darko (2001). She garnered critical praise for starring as Lee Holloway in Secretary (2002), for which she was nominated for a Golden Globe Award. For her performance in Sherrybaby (2006), she was nominated for the Golden Globe Award for Best Actress in a Motion Picture – Drama. She also received recognition for starring as Rachel Dawes in The Dark Knight (2008). For her performance in the musical-drama Crazy Heart (2009), she was nominated for the Academy Award for Best Supporting Actress. She subsequently starred in Nanny McPhee and the Big Bang (2010), Won't Back Down (2012) and Frank (2014), for which she was nominated for a BIFA Award.
Equal	Michael Barrymore	Occupation	Comedian	Michael Ciaran Parker (born 4 May 1952), better known by his stage name Michael Barrymore, is an English comedian and television presenter of game shows and light entertainment programmes on British television in the 1980s, 1990s and 2000s. These included Strike It Lucky, My Kind of People, My Kind of Music and Kids Say the Funniest Things.
Equal	Henry Kravis	Occupation	Businessman	Henry R. Kravis (born January 6, 1944) is an American businessman. He is the co-founder of Kohlberg Kravis Roberts & Co., a private equity firm with $94.3 billion in assets as of December 31, 2013. He has an estimated net worth of $4.8 billion as of September 2015, ranked by Forbes as the 108th richest man in America and the 278th richest man in the world.
Equal	Itzik Kol	Occupation	Television	Itzik Kol (Hebrew: איציק קול‎‎; January 12, 1932 – July 8, 2007) was an Israeli television and film producer considered by many to be a pioneer and originator of Israeli cinema. He died following complications from pneumonia.
Equal	Joseph Bologna	Occupation	Actor	Joseph Bologna (born December 30, 1934) is an American actor. He is notable for roles in the comedy films My Favorite Year and Transylvania 6-5000.
Contains	Joseph L. Mankiewicz	Occupation	Director	Joseph Leo Mankiewicz (February 11, 1909 – February 5, 1993) was an American film director, screenwriter, and producer. Mankiewicz had a long Hollywood career, and he twice won the Academy Award for both Best Director and Best Writing, Screenplay for A Letter to Three Wives (1949) and All About Eve (1950).
Contains	Karisma Kapoor	Occupation	Actress	In 1996, Kapoor earned her first Filmfare Award for Best Actress for Raja Hindustani, her biggest commercial success, and later received the National Film Award for Best Supporting Actress for her performance in the romantic drama Dil To Pagal Hai (1997). She went on to play the leading role in the critically acclaimed projects, Fiza (2000) and Zubeidaa (2001), for which she earned the Best Actress and Best Actress (Critics) trophies at the Filmfare ceremony. Having done so, Kapoor has established herself as one of the leading actresses of Hindi cinema. She has been considered as one of the most beautiful women in Bollywood and a sex symbol. Vogue states that in the past decade, Kapoor has become a nationally recognized style icon. Kapoor ranked first on Box Office India's "Top 5 Actresses of 1990–1999".
Contains	Karisma Kapoor	Occupation	Actress	In 1996, Kapoor earned her first Filmfare Award for Best Actress for Raja Hindustani, her biggest commercial success, and later received the National Film Award for Best Supporting Actress for her performance in the romantic drama Dil To Pagal Hai (1997). She went on to play the leading role in the critically acclaimed projects, Fiza (2000) and Zubeidaa (2001), for which she earned the Best Actress and Best Actress (Critics) trophies at the Filmfare ceremony. Having done so, Kapoor has established herself as one of the leading actresses of Hindi cinema. She has been considered as one of the most beautiful women in Bollywood and a sex symbol. Vogue states that in the past decade, Kapoor has become a nationally recognized style icon. Kapoor ranked first on Box Office India's "Top 5 Actresses of 1990–1999".
Contains	Karisma Kapoor	Occupation	Actress	In 1996, Kapoor earned her first Filmfare Award for Best Actress for Raja Hindustani, her biggest commercial success, and later received the National Film Award for Best Supporting Actress for her performance in the romantic drama Dil To Pagal Hai (1997). She went on to play the leading role in the critically acclaimed projects, Fiza (2000) and Zubeidaa (2001), for which she earned the Best Actress and Best Actress (Critics) trophies at the Filmfare ceremony. Having done so, Kapoor has established herself as one of the leading actresses of Hindi cinema. She has been considered as one of the most beautiful women in Bollywood and a sex symbol. Vogue states that in the past decade, Kapoor has become a nationally recognized style icon. Kapoor ranked first on Box Office India's "Top 5 Actresses of 1990–1999".
Equal	Lawrence Pazder	Occupation	Psychiatrist	Lawrence "Larry" Pazder (April 30, 1936 – March 5, 2004) was a Canadian psychiatrist and author. Pazder is known for his discredited biography, Michelle Remembers, published in 1980, which he co-wrote with his patient (and eventual wife) Michelle Smith, and for his involvement in satanic ritual abuse coverage.
Contains	Ludivine Sagnier	Occupation	Actress	Ludivine Sagnier is a French actress and model, who has appeared in films since 1989. She was nominated for two César Awards for Best Supporting Actress in Swimming Pool (2003) and Un secret (2007).
Equal	Henryk Zygalski	Occupation	Mathematician	Henryk Zygalski (Polish pronunciation: [ˈxɛnrɨk zɨˈɡalski] (13px listen); 15 July 1908 in Posen – 30 August 1978 in Liss) was a Polish mathematician and cryptologist who worked at breaking German Enigma ciphers before and during World War II.
Equal	Meredith Willson	Occupation	Composer	Robert Meredith Willson (May 18, 1902 – June 15, 1984) was an American composer, songwriter, flautist, conductor and playwright, best known for writing the book, music and lyrics for the hit Broadway musical The Music Man. He wrote three other Broadway musicals, composed symphonies and popular songs, and his film scores were twice nominated for Academy Awards.
Equal	Michel de Ghelderode	Occupation	Dramatist	Michel de Ghelderode (April 3, 1898 – April 1, 1962) was an avant-garde Belgian dramatist, writing in French.
Equal	Helena Kennedy, Baroness Kennedy of The Shaws	Occupation	Barrister	Helena Ann Kennedy, Baroness Kennedy of The Shaws, QC, FRSA (born 12 May 1950), is a British barrister, broadcaster, and Labour member of the House of Lords. Lady Kennedy of The Shaws, as she is properly styled, is a former chair of the Human Genetics Commission, which advises Her Majesty's Government on ethical, social, and legal issues arising from developments in genetic science.
